Key,block,treatment,row,subsample,fruitfulness ,bloom,spad,veraison,cluster number,yield,cluster weight ,berries/cluster,berry weight,berry Brix,berry TA,berry pH,brown seed color,,
M1,1,control,67,1,1,28.3,39.9,32.5,13,2.208,0.169846154,145.5824176,1.166666667,24.1,9,3.26,70,,
M2,1,control,67,2,0,32.6,40.7,29.7,5,0.192,0.0384,34.90909091,1.1,25.9,6.25,3.5,80,,
M3,1,control,67,3,0.8,27.9,42.7,23.2,3,0.041,0.013666667,20.5,0.666666667,26.9,8.8,3.38,75,,
M4,1,control,67,4,1.333333333,27.3,40.9,33.3,14,2.703,0.193071429,144.8035714,1.333333333,22.6,10.65,3.15,60,,
M5,1,control,67,5,0,28.7,40.5,35,2,0.227,0.1135,64.24528302,1.766666667,24.3,10.15,3.15,70,,
M6,1,heat,69,1,0.166666667,28.9,44.9,28.7,3,0.612,0.204,139.0909091,1.466666667,25.3,7.75,3.36,70,,
M7,1,heat,69,2,0.666666667,28,41.3,30.2,5,0.269,0.0538,42.47368421,1.266666667,26.3,8.4,3.15,90,,
M8,1,heat,69,3,0,28,38.5,23.2,2,0.409,0.2045,125.2040816,1.633333333,24.6,8.4,3.18,75,,
M9,1,heat,69,4,1,27.9,38,32,7,1.708,0.244,192.6315789,1.266666667,25.7,9.1,3.24,85,,
M10,1,heat,69,5,0.888888889,28.3,37.2,23.2,12,1.602,0.1335,125.15625,1.066666667,24.4,7.8,3.22,80,,
M11,2,heat,71,1,0.5,27.4,37.1,23.2,2,0.089,0.0445,35.13157895,1.266666667,26.8,7.45,3.33,85,,
M12,2,heat,71,2,0.4,33,35.4,23.2,8,1.605,0.200625,136.7897727,1.466666667,25.9,7.75,3.23,85,,
M13,2,heat,71,3,0.666666667,27.6,36.9,34.3,5,0.434,0.0868,81.375,1.066666667,26.1,7.3,3.25,80,,
M14,2,heat,71,4,2,27.8,35.4,30.8,10,1.144,0.1144,92.75675676,1.233333333,26.3,6.05,3.28,80,,
M15,2,heat,71,5,0,27.4,36.1,33,4,0.483,0.12075,106.5441176,1.133333333,25.9,5.95,3.41,85,,
M16,2,control,73,1,0.25,28.4,40.8,27.2,2,0.29,0.145,120.8333333,1.2,26.5,9,3.19,90,,
M17,2,control,73,2,1,27,39.5,23.2,3,0.328,0.109333333,105.8064516,1.033333333,26.6,7.2,3.34,90,,
M18,2,control,73,3,1,23.9,40.7,17.3,8,1.285,0.160625,109.5170455,1.466666667,25.9,6.9,3.28,90,,
M19,2,control,73,4,1.142857143,27,37.6,17.3,19,3.987,0.209842105,165.6648199,1.266666667,23.4,9.6,3.06,60,,
M20,2,control,73,5,0.888888889,27.2,36.5,25.7,23,4.84,0.210434783,143.4782609,1.466666667,23,9.6,3.07,65,,
M21,3,heat,75,1,0.8,27.2,39.5,27,9,1.169,0.129888889,92.77777778,1.4,23.6,9.3,3.07,70,,
M22,3,heat,75,2,0,26,36.4,33.6,6,0.58,0.096666667,72.5,1.333333333,24.6,8.35,3.17,70,,
M23,3,heat,75,3,0,,36.8,,0,,,,,,,,,,
M24,3,heat,75,4,0.285714286,26.9,36.2,34.4,6,1.016,0.169333333,163.8709677,1.033333333,23.6,9.3,3.07,70,,
M25,3,heat,75,5,0,,38.7,,0,,,,,,,,,,
M26,3,control,77,1,0,28.6,36.8,32.6,5,0.711,0.1422,101.5714286,1.4,25.7,8.85,3.19,75,,
M27,3,control,77,2,0,,38.6,,1,0.048,0.048,48,1,,,,,,
M28,3,control,77,3,0.666666667,26.4,37,33.8,2,0.052,0.026,35.45454545,0.733333333,25.8,7.05,3.34,75,,
M29,3,control,77,4,0.285714286,26.9,39.6,34,1,0.148,0.148,134.5454545,1.1,25.8,10.3,3.08,80,,
M30,3,control,77,5,0,,38.1,,0,,,,,,,,,,
M31,4,control,79,1,0,26.9,30.4,25.7,2,0.134,0.067,77.30769231,0.866666667,26.1,6.3,3.25,80,,
M32,4,control,79,2,0,27.5,32.7,28.7,6,0.53,0.088333333,82.8125,1.066666667,26.1,6.75,3.23,80,,
M33,4,control,79,3,0.75,27.5,37.1,30.8,11,1.602,0.145636364,106.5631929,1.366666667,25.2,9.15,3.14,90,,
M34,4,control,79,4,0.625,28.1,38.3,25.7,10,1.827,0.1827,116.6170213,1.566666667,26.2,7.95,3.25,75,,
M35,4,control,79,5,0,27.5,36.5,25,4,0.541,0.13525,101.4375,1.333333333,26.8,7.05,3.37,80,,
M36,4,heat,81,1,0.5,26.6,36,23.2,14,1.541,0.110071429,82.55357143,1.333333333,25.9,8.55,3.22,75,,
M37,4,heat,81,2,0.142857143,26.4,35.3,25.4,2,0.143,0.0715,65,1.1,26.4,7.2,3.49,90,,
M38,4,heat,81,3,1.181818182,27.2,30.3,33.1,17,1.508,0.088705882,95.04201681,0.933333333,22.9,9.05,3.08,70,,
M39,4,heat,81,4,0,,37.3,,0,,,,,,,,,,
M40,4,heat,81,5,0,26.4,38.6,27.8,4,0.465,0.11625,87.1875,1.333333333,26.7,8.1,3.25,90,,
M41,5,heat,83,1,2,28.9,39.1,34.4,7,0.974,0.139142857,115.952381,1.2,24.7,8.55,3.08,75,,
M42,5,heat,83,2,0,27.1,39.7,27,3,0.187,0.062333333,43.48837209,1.433333333,26.4,5.7,3.5,85,,
M43,5,heat,83,3,1.5,26.3,37.3,31.6,11,1.482,0.134727273,139.3730408,0.966666667,22.2,7.8,3.17,75,,
M44,5,heat,83,4,1,27.9,37.9,32,12,1.041,0.08675,104.1,0.833333333,21.6,8.4,3.33,80,,
M45,5,heat,83,5,1,28,33.5,32.8,11,1.181,0.107363636,119.2929293,0.9,23.7,7.35,3.26,75,,
M46,5,control,85,1,1.75,27.7,33.2,31.1,18,2.657,0.147611111,130.245098,1.133333333,23.9,10.05,3.04,75,,
M47,5,control,85,2,0,,37.9,,0,,,,,,,,,,
M48,5,control,85,3,0,26.6,42.8,,9,0.965,0.107222222,97.47474747,1.1,26.2,5.6,3.37,85,,
M49,5,control,85,4,0,27.1,41.3,32.5,3,0.103,0.034333333,39.61538462,0.866666667,26.5,6.15,3.4,90,,
M50,5,control,85,5,0,27.1,39.2,29.5,3,0.204,0.068,60,1.133333333,27,7.05,3.35,85,,
M51,6,heat,87,1,1,28.3,37,28.7,9,1.023,0.113666667,87.43589744,1.3,25.9,8.1,3.13,85,,
M52,6,heat,87,2,1.5,26.6,39.7,33.5,9,1.131,0.125666667,81.95652174,1.533333333,25.6,9.9,3.17,75,,
M53,6,heat,87,3,1,28.3,40.4,33,16,2.098,0.131125,106.3175676,1.233333333,24,10.25,3.03,70,,
M54,6,heat,87,4,0.5,28.6,35.7,34,4,0.508,0.127,108.8571429,1.166666667,24,10.5,3.13,70,,
M55,6,heat,87,5,0,28.3,43.1,,0,,,,,,,,,,
M56,6,control,89,1,0.5,26.4,38.5,27.8,2,0.144,0.072,49.09090909,1.466666667,25.8,7.75,3.12,85,,
yes,6,control,89,2,0.5,27.1,39.7,32.3,5,0.682,0.1364,102.3,1.333333333,25.8,8.5,3.21,80,,
M58,6,control,89,3,0,27.6,41.6,23.2,2,0.14,0.07,60,1.166666667,26.4,8.1,3.09,90,,
M59,6,control,89,4,0,27.3,43.2,29.5,0,,,,,,,,,,
M60,6,control,89,5,0,,44.9,33.7,1,0.051,0.051,63.75,0.8,25,8.7,3.09,65,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
