Key,block,treatment,row,subsample,pruning weight,Ravaz index
M1,1,control,67,1,,
M2,1,control,67,2,,
M3,1,control,67,3,,
M4,1,control,67,4,,
M5,1,control,67,5,,
M6,1,heat,69,1,,
M7,1,heat,69,2,,
M8,1,heat,69,3,,
M9,1,heat,69,4,,
M10,1,heat,69,5,,
M11,2,heat,71,1,,
M12,2,heat,71,2,,
M13,2,heat,71,3,,
M14,2,heat,71,4,,
M15,2,heat,71,5,,
M16,2,control,73,1,0.025,11.6
M17,2,control,73,2,0.162,2.02469135802469
M18,2,control,73,3,0.286,4.49300699300699
M19,2,control,73,4,0.387,10.3023255813953
M20,2,control,73,5,,
M21,3,heat,75,1,0.446,2.62107623318386
M22,3,heat,75,2,0.076,7.63157894736842
M23,3,heat,75,3,0.028,
M24,3,heat,75,4,0.149,6.81879194630873
M25,3,heat,75,5,0.079,
M26,3,control,77,1,0.095,7.48421052631579
M27,3,control,77,2,0.164,0.292682926829268
M28,3,control,77,3,0.058,0.896551724137931
M29,3,control,77,4,0.326,0.45398773006135
M30,3,control,77,5,0.052,
M31,4,control,79,1,0.033,4.06060606060606
M32,4,control,79,2,0.137,3.86861313868613
M33,4,control,79,3,0.236,6.78813559322034
M34,4,control,79,4,0.315,5.8
M35,4,control,79,5,0.286,1.89160839160839
M36,4,heat,81,1,0.137,11.2481751824818
M37,4,heat,81,2,0.085,1.68235294117647
M38,4,heat,81,3,0.296,5.09459459459459
M39,4,heat,81,4,0.133,
M40,4,heat,81,5,0.314,1.48089171974522
M41,5,heat,83,1,0.348,2.79885057471264
M42,5,heat,83,2,0.182,1.02747252747253
M43,5,heat,83,3,0.356,4.16292134831461
M44,5,heat,83,4,0.347,3
M45,5,heat,83,5,0.602,1.96179401993356
M46,5,control,85,1,0.622,4.27170418006431
M47,5,control,85,2,0.13,
M48,5,control,85,3,0.154,6.26623376623377
M49,5,control,85,4,0.102,1.00980392156863
M50,5,control,85,5,0.234,0.871794871794872
M51,6,heat,87,1,0.402,2.54477611940298
M52,6,heat,87,2,0.317,3.56782334384858
M53,6,heat,87,3,0.591,3.54991539763113
M54,6,heat,87,4,0.242,2.09917355371901
M55,6,heat,87,5,0.246,
M56,6,control,89,1,0.113,1.27433628318584
yes,6,control,89,2,0.158,4.31645569620253
M58,6,control,89,3,0.103,1.35922330097087
M59,6,control,89,4,0.048,
M60,6,control,89,5,0.018,2.83333333333333
